id,theme,subTheme,name,latitude,longitude
PLAC-54,Education Centre,School - Primary and Secondary Education,Wesley College,-37.8485201804496, 144.982227770988
PLAC-55,Place Of Assembly,Theatre Live,FairFax Studio,-37.8216684581887, 144.968836241692
PLAC-56,Place Of Assembly,Theatre Live,Playhouse,-37.8218124583016, 144.968337832721
PLAC-57,Place Of Assembly,Theatre Live,State Theatre,-37.8212806349773, 144.968469643744
PLAC-58,Education Centre,Tertiary (University),University of Melbourne (VCA and Music),-37.8241137662047, 144.96933253996
PLAC-59,Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,-37.8352429531289, 144.98114217385
PLAC-60,Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,-37.7908082646624, 144.912142987372
PLAC-61,Transport,Railway Station,Southern Cross Railway Station,-37.8181633057171, 144.952944748845
PLAC-62,Place Of Assembly,Theatre Live,Princess Theatre,-37.8107257091302, 144.9723265962
PLAC-63,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,-37.8143993575938, 144.975952335785
PLAC-64,Education Centre,Secondary Schools,University High School,-37.7973136216903, 144.956034449946
PLAC-65,Community Use,Public Buildings,State Library Victoria,-37.8099852201226, 144.964330322397
PLAC-66,Place Of Assembly,Theatre Live,Regent Theatre,-37.8160014744179, 144.967916735261
PLAC-67,Mixed Use,Retail/Office,Treasury Reserve,-37.8129178793082, 144.975236759799
PLAC-68,Office,Office,Old Treasury Building,-37.8132371662585, 144.974423610255
PLAC-69,Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,-37.8093444587231, 144.982336768182
PLAC-70,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,-37.8218460949601, 144.956665812218
PLAC-71,Office,Office,Australian Red Cross,-37.7990921023192, 144.952635945774
PLAC-72,Community Use,Government Building,Melbourne Magistrates Court,-37.8136147671606, 144.956846193891
PLAC-73,Transport,Railway Station,Flagstaff Railway Station,-37.8122356514626, 144.956318211113
PLAC-74,Community Use,Public Buildings,Supreme Court,-37.8141494182814, 144.957894024264
PLAC-75,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,-37.8216740022008, 144.988156318781
PLAC-76,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),-37.8194921618419, 144.983402879078
PLAC-77,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,-37.7844449253712, 144.951371205938
PLAC-78,Office,Office,Australian Broadcasting Corporation (ABC),-37.823813323734, 144.966551401578
PLAC-79,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,-37.8252455123297, 144.95435243249
PLAC-80,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,-37.8249040484653, 144.952288281644
PLAC-81,Place Of Assembly,Art Gallery/Museum,Polly Woodside,-37.8242574266145, 144.953478052064
PLAC-82,Vacant Land,Vacant Land - Undeveloped Site,Melbourne International Karting Complex,-37.8310746380616, 144.913822928701
PLAC-83,Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,-37.8292844929826, 144.913415802464
PLAC-84,Mixed Use,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,-37.8202245786597, 144.965989052839
PLAC-85,Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,-37.8266045432686, 144.967252924593
PLAC-86,Place Of Assembly,Theatre Live,Malthouse Theatre,-37.8271768001126, 144.966936821789
PLAC-87,Place of Worship,Church,St Patricks Cathedral,-37.8101140950474, 144.975901529712
PLAC-88,Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,-37.8219947335768, 144.968837288153
PLAC-89,Office,Office,Parliament House,-37.811246655376, 144.97372641185
