freewifi_name,freewifi_address,freewifi_latitude,freewifi_longitude,freewifi_status
MEL-1001,525 Flinders St,-37.8205802,144.957177,UP
MEL-1003,Outside 376 Flinders Street,-37.8190615,144.961594,UP
MEL-1005,Se Corner Latrobe And Queens Streets,-37.811153,144.959103,UP
MEL-1006,Outside 399 Elizabeth Street ,-37.8095134,144.960851,UP
MEL-1007,27-37 Russell St,-37.8159811,144.969398,UP
MEL-1008,115 Russell Street,-37.8136919,144.968349,UP
MEL-1010,200 La Trobe St,-37.8096563,144.963221,UP
MEL-1011,Outside 51 Spring Street,-37.8137547,144.97402,UP
MEL-1014,50 Bourke St,-37.811675,144.971668,UP
MEL-1015,"8 Nicholson St,Melbourne",-37.8085912,144.973215,UP
MEL-1016,Outside 489 Albert Street,-37.8092406,144.973568,UP
MEL-1017,Carlton Gardens - Ne Corner Of La Trobe And Victoria St,-37.8073609,144.970607,UP
MEL-1018,Corner Powlett Street & Wellington Parade,-37.8162778,144.984938,UP
MEL-1019,176 Wellington Parade Melbourne,-37.8161473,144.983932,UP
MEL-1020,Corner Elizabeth And Therry Streets,-37.8069552,144.959954,UP
MEL-1021,Ne Corner Flinders And Spencer Streets ,-37.8208833,144.955351,UP
